Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3cNsLpqu5TGoGKwM6cyZXB,"The Vulture","Immersion","Pendulum",2010-05-21,243293,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:25:58Z,"drum and bass,dubstep","WM UK",0.58,0.978,1,-3.586,0,0.0478,0.0000653,0.83,0.349,0.657,140.031,4
spotify:track:1kvnmJ67M3ByVx4y3ou2iP,"Showdown","In Silico","Pendulum",2008-05-09,327706,45,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:26:17Z,"drum and bass,dubstep","WM UK",0.369,0.961,11,-4.593,0,0.0477,0.00000564,0.701,0.133,0.163,174.018,4
spotify:track:0nDxEl03YSjrDB7IBZaZHx,"Buffalo Charge","Buffalo Charge","Dub Phizix;Strategy",2014-10-27,340142,23,false,0bnjquo5jylyfdzak3bkvpeht,2025-02-03T13:21:55Z,"drum and bass,jungle,drumstep,liquid funk,breakbeat,dubstep,britský garage,grime","SenkaSonic",0.697,0.481,1,-5.007,1,0.113,0.0234,0.0000612,0.171,0.691,174.03,4
spotify:track:6QOUMEzV1hvHS3yaF43xw8,"Disease - DnB Remix","Disease","Trax",2021-10-07,267435,42,false,0bnjquo5jylyfdzak3bkvpeht,2025-04-23T20:45:53Z,"drum and bass,bassline","Urban Masters Audio",0.833,0.534,8,-7.653,0,0.401,0.0075,0,0.131,0.806,87.505,4
spotify:track:185mPScSGRuSVx3vRWhfhg,"Rhyme Dust - Dimension Remix","Rhyme Dust (Dimension Remix)","MK;Dom Dolla;Dimension",2023-05-05,204137,52,false,0bnjquo5jylyfdzak3bkvpeht,2025-05-01T17:36:05Z,"house,tech house,drum and bass,liquid funk","Columbia",0.584,0.995,7,0.905,1,0.11,0.0579,0.818,0.373,0.597,173.981,4
spotify:track:76x1mIsCz46excW50sehDt,"It's That Time - Dimension Remix","It's That Time (Dimension Remix)","Marlon Hoffstadt;Dimension;DJ Daddy Trance",2023-10-06,215172,56,false,0bnjquo5jylyfdzak3bkvpeht,2025-05-01T17:51:16Z,"hard house,eurodance,trance,techno,drum and bass,liquid funk,hypertechno","Method 808, distributed by gamma.",0.698,0.981,5,-0.179,1,0.109,0.00329,0.49,0.308,0.524,173.989,4
spotify:track:3HrHhTWonBqF4mDasi8xvC,"BACKBONE","BACKBONE","Chase & Status;Stormzy",2024-08-08,166448,73,true,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:06:51Z,"drum and bass,jungle,grime,britský grime,britský drill","EMI",0.777,0.934,2,-0.959,1,0.254,0.285,0.0000386,0.275,0.637,88.009,4
spotify:track:37mG6IjvmVd0bKf83D7ZGt,"Burning","Burning","NOTION",2020-07-10,183560,43,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:07:14Z,"bassline,bass house,drum and bass,britský garage","Musical Freedom",0.7,0.983,10,-2.914,0,0.0534,0.0289,0.159,0.246,0.635,127.009,4
spotify:track:0l0AzLfJ1FxOxfJqK69056,"LUV UNDER","LUV UNDER","Tekraw;nootro;zlayasyka",2021-10-01,166166,4,true,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:07:33Z,"g-house,bassline,bass house,britský garage","SAVAGE$TATION",0.934,0.916,10,-2.436,0,0.204,0.0306,0.0000247,0.143,0.764,128,4
spotify:track:6DsPM0HMAXN5x4pzBR6bbo,"Aftershock","Aftershock","Macky Gee;Stuart Rowe",2017-08-07,230400,53,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:07:50Z,"drum and bass,bassline,bass house","Down 2 Earth Musik",0.688,0.922,6,0.444,0,0.0362,0.263,0.0302,0.186,0.695,175.054,4
spotify:track:5hu38DJrTEe4oelJ17iwpK,"Kisses","Kisses","Dj sca",2025-05-22,198484,21,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:08:02Z,"","Dj Sca",0.689,0.753,0,-5.287,1,0.0432,0.0394,0.0885,0.283,0.466,160.017,4
spotify:track:44PQeBu7z7gIeDMdRzdI5D,"Come Together","Come Together","Urbandawn;Tyson Kelly",2019-05-24,238959,52,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:08:16Z,"drum and bass,liquid funk","Hospital Records",0.671,0.868,1,1.221,1,0.0873,0.00279,0.273,0.148,0.464,173.035,4
spotify:track:56eQI8WLKYX2R7FmpuJgYX,"Your Love","After Dark","Friction;Kanine",2022-09-23,250264,51,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:09:42Z,"drum and bass,liquid funk,bassline","Elevate Records",0.587,0.896,1,-1.778,1,0.0522,0.00153,0.00162,0.072,0.111,174.047,4
spotify:track:45qaAaQolmwfPj3mU7sOk8,"Full Send","Full Send [UKF10]","1991",2019-10-11,229137,57,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:09:59Z,"drum and bass,liquid funk","UKF",0.516,0.955,5,-0.846,0,0.0296,0.0336,0.0876,0.114,0.489,173.947,4
spotify:track:1WShqPmOqOWljVNxI60ZA4,"Rock It - Wilkinson Remix","Reworks I","Sub Focus;Wilkinson",2021-09-17,272840,50,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:10:33Z,"drum and bass,liquid funk","RAM Records",0.453,0.99,5,-1.368,0,0.0861,0.0161,0.932,0.109,0.399,174.05,4
spotify:track:2utAuZWOq0Staky6RgtfLE,"Timewarp - Dimension Remix","Reworks I","Sub Focus;Dimension",2021-09-17,226613,44,false,0bnjquo5jylyfdzak3bkvpeht,2025-06-27T08:10:50Z,"drum and bass,liquid funk","RAM Records",0.453,0.961,0,-2.687,1,0.0757,0.000798,0.722,0.353,0.184,174.047,4
